geneID	Mapman ANN	description	At homolog	At Tair9 short description	RPKM-base	RPKM-1cm	RPKM+4 cm	RPKMtip	GeneName
GRMZM2G071021	fermentation.aldehyde dehydrogenase	retinal dehydrogenase 1, putative, expressed	AT3G24503.1	ALDH2C4; 3-chloroallyl aldehyde dehydrogenase/ aldehyde dehydrogenase (NAD)/ coniferyl-aldehyde dehydrogenase	102.8577477	168.3835405	47.98452796	44.57011112	ALDH2C4
GRMZM2G071025	RNA.regulation of transcription.Chromatin Remodeling Factors	chromatin complex subunit A101, putative, expressed	AT5G66750.1	CHR1 (CHROMATIN REMODELING 1); ATPase/ helicase	12.60136228	0.473292113	0.08834964	0.125448569	CHR1
GRMZM2G071042	RNA.regulation of transcription.unclassified	zinc finger A20 and AN1 domains-containing protein, putative, expressed	AT3G12630.1	zinc finger (AN1-like) family protein	11.91687712	28.53787579	8.606955511	4.019482124	SAP5
GRMZM2G071071	signalling.G-proteins	expressed protein	AT5G27540.2	MIRO1 (Miro-related GTP-ase 1); GTP binding	31.22038731	11.22635272	7.563588806	9.902473364	MIRO1
GRMZM2G071089	not assigned	DREPP2 protein, putative, expressed	AT4G20260.3	DREPP plasma membrane polypeptide family protein	332.0479443	12.56905741	0.149260563	0.726639836	PCAP1
GRMZM2G071100	signalling.calcium	calcium ion binding protein, putative, expressed	AT3G07490.1	AGD11 (ARF-GAP domain 11); calcium ion binding	9.9512433	4.333716971	7.974775709	20.4449652	AGD11
GRMZM2G071112	RNA.regulation of transcription.unclassified	mini zinc finger 3, putative, expressed	AT3G28917.1	MIF2 (MINI ZINC FINGER 2); DNA binding	6.269084944	0.124153356	0	0.044660181	MIF2
GRMZM2G071157	signalling.G-proteins	pollen-specific kinase partner protein, putative, expressed	AT4G00460.2	Rho guanyl-nucleotide exchange factor	1.677523769	0.487465839	0.030873458	0.116900115	ROPGEF3
GRMZM2G071163	not assigned	lipid binding protein, putative, expressed	AT1G05500.1	NTMC2T2.1	8.771886593	9.89722126	3.575878199	2.287631715	NTMC2T2.1
GRMZM2G071172	not assigned	expressed protein	AT3G61380.1	unknown protein	10.86240961	14.88996785	3.898319078	5.31192148	TRM14
GRMZM2G071208	amino acid metabolism.synthesis.branched chain group.common.branched-chain amino acid aminotransferase	branched-chain-amino-acid aminotransferase, putative, expressed	AT5G65780.1	ATBCAT-5; branched-chain-amino-acid transaminase/ catalytic	40.51690477	63.14854421	19.85754447	23.87888246	ATBCAT-5
GRMZM2G071268	protein.degradation	acylamino-acid-releasing enzyme, putative, expressed	AT4G14570.1	acylaminoacyl-peptidase-related	20.78985675	36.09542364	32.41296376	25.37288535	AARE
GRMZM2G071304	DNA.synthesis/chromatin structure	DNA ligase, putative, expressed	AT1G08130.1	ATLIG1 (ARABIDOPSIS THALIANA DNA LIGASE 1); ATP binding / DNA binding / DNA ligase (ATP)	7.707462516	1.714353416	0.442321457	0.262848729	LIG1
GRMZM2G071360	not assigned	expressed protein	AT4G30996.1	unknown protein	31.95822153	14.00948819	2.65103581	1.345581965	NKS1
GRMZM2G071401	transport.potassium	calcium-activated outward-rectifying potassium channel 6, putative, expressed	AT4G18160.1	KCO6; outward rectifier potassium channel	2.743161397	1.655474775	2.187711525	6.184078511	KCO6
GRMZM2G071423	not assigned	lrgB-like family protein, expressed	AT1G32080.1	membrane protein, putative	9.09729362	465.4041945	1193.32456	690.7636639	LrgB
GRMZM2G071450	PS.lightreaction.other electron carrier (ox/red).plastocyanin	plastocyanin, chloroplast precursor, putative, expressed	AT1G76100.1	PETE1 (PLASTOCYANIN 1); copper ion binding / electron carrier	651.0699955	4179.152875	5674.874824	5966.904042	PETE1
GRMZM2G071478	signalling.receptor kinases.lysine motif	protein kinase, putative, expressed	AT2G33580.1	protein kinase family protein / peptidoglycan-binding LysM domain-containing protein	0.159938028	0.89764764	0.015306351	0	LYK5
GRMZM2G071573	protein.postranslational modification.kinase.receptor like cytoplasmatic kinase VII	receptor protein kinase TMK1 precursor, putative, expressed	AT4G22130.1	SRF8 (STRUBBELIG-RECEPTOR FAMILY 8); ATP binding / kinase/ protein binding / protein kinase/ protein serine/threonine kinase/ protein tyrosine kinase	11.15372508	15.30998558	3.600934292	0.497329125	SRF8
GRMZM2G071575	lipid metabolism.lipid transfer proteins etc	lipid transfer protein, putative, expressed	AT1G27950.1	LTPG1 (GLYCOSYLPHOSPHATIDYLINOSITOL-ANCHORED LIPID PROTEIN TRANSFER 1)	15.62048145	7.549623018	0.693692631	0.675415784	LTPG1
GRMZM2G071582	RNA.regulation of transcription.C2H2 zinc finger family	ZAC, putative, expressed	AT4G21160.4	ZAC; ARF GTPase activator/ phospholipid binding	7.269184701	14.30544018	15.48411162	20.08507264	ZAC
GRMZM2G071630	glycolysis.glyceraldehyde 3-phosphate dehydrogenase	glyceraldehyde-3-phosphate dehydrogenase, cytosolic 3, putative, expressed	AT1G13440.1	GAPC2 (GLYCERALDEHYDE-3-PHOSPHATE DEHYDROGENASE C2); NAD or NADH binding / binding / catalytic/ glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)/ glyceraldehyde-3-phosphate dehydrogenase	336.2739954	87.74819284	28.06243351	17.5608491	GAPC2
GRMZM2G071673	nucleotide metabolism.degradation	dihydropyrimidine dehydrogenase precursor, putative, expressed	AT3G17810.1	dihydroorotate dehydrogenase family protein / dihydroorotate oxidase family protein	22.23878442	30.13754305	8.903275278	6.756447351	PYD1
GRMZM2G071714	Co-factor and vitamine metabolism.lipoic acid	lipoic acid synthetase, mitochondrial precursor, putative, expressed	AT2G20860.1	LIP1 (LIPOIC ACID SYNTHASE 1); lipoic acid synthase	34.64454754	38.28290369	21.95702291	13.24948335	LIP1
GRMZM2G071720	not assigned	plant-specific domain TIGR01627 family protein, expressed	AT4G09990.1	unknown protein	1.224683108	8.856239282	0.146505416	0	GXM2
GRMZM2G071745	redox.ascorbate and glutathione	cytochrome b5, putative, expressed	AT1G26340.1	CB5-A (CYTOCHROME B5 ISOFORM A); heme binding	49.40797503	51.38431648	19.56410024	15.68845869	CB5-A
GRMZM2G071759	transport.peptides and oligopeptides	oligopeptide transporter 9, putative, expressed	AT4G10770.1	OPT7 (OLIGOPEPTIDE TRANSPORTER 7); oligopeptide transporter	10.2376519	8.60714828	11.38471218	5.53215103	OPT7
GRMZM2G071790	cell.organisation	tubulin beta-4 chain, putative, expressed	AT5G12250.1	TUB6 (BETA-6 TUBULIN); structural constituent of cytoskeleton	401.4114801	67.9203911	4.069763611	1.834202953	TUB6
GRMZM2G071846	nucleotide metabolism.salvage.phosphoribosyltransferases.aprt	adenine phosphoribosyltransferase 2, putative, expressed	AT1G80050.1	APT2 (ADENINE PHOSPHORIBOSYL TRANSFERASE 2); adenine phosphoribosyltransferase/ phosphate transmembrane transporter	3.784421417	0.314200557	0.19501774	0	APT2
GRMZM2G071907	RNA.regulation of transcription.WRKY domain transcription factor family	OsWRKY68 - Superfamily of rice TFs having WRKY and zinc finger domains, expressed	AT4G31550.2	WRKY11; calmodulin binding / transcription factor	4.734165638	3.227170461	4.34332105	9.591004638	WRKY11
GRMZM2G071959	DNA.synthesis/chromatin structure.histone	histone H2B.2, putative, expressed	AT3G46030.1	HTB11; DNA binding	461.5344755	34.06367087	18.94046815	16.88045914	HTB11
GRMZM2G071970	cell wall.cellulose synthesis.COBRA	COBRA-like protein 4 precursor, putative, expressed	AT5G60920.1	COB (COBRA)	60.75400438	58.7085478	23.86887849	11.01724449	COB
GRMZM2G071996	protein.folding	expressed protein	AT1G75690.1	chaperone protein dnaJ-related	46.50058209	327.3075566	344.8257909	249.8578024	LQY1
GRMZM2G072034	not assigned	OsTIL-1 - Oryza sativa Temperature-induced lipocalin-1, expressed	AT5G58070.1	TIL (TEMPERATURE-INDUCED LIPOCALIN); binding / transporter	14.94299031	69.64978732	39.95597931	62.29757688	TIL
GRMZM2G072071	transport.ABC transporters and multidrug resistance systems	ATP-binding cassette sub-family B member 10, mitochondrial precursor, putative, expressed	AT5G39040.1	ATTAP2; ATPase, coupled to transmembrane movement of substances / transporter	12.46657252	30.67048651	59.28812389	54.23828504	ABCB27
GRMZM2G072107	protein.postranslational modification	casein kinase I isoform delta-like, putative, expressed	AT3G23340.1	ckl10 (Casein Kinase I-like 10); ATP binding / kinase/ protein kinase/ protein serine/threonine kinase	16.07326589	10.12920219	2.269189597	0.962511177	ckl10
GRMZM2G072121	cell wall.modification	alpha-expansin 13 precursor, putative, expressed	AT3G03220.1	ATEXPA13 (ARABIDOPSIS THALIANA EXPANSIN A13)	32.93332617	5.554007134	1.181916521	0.679277706	EXPA13
GRMZM2G072240	protein.degradation.serine protease	serine carboxypeptidase family protein, expressed	AT3G63470.1	scpl40 (serine carboxypeptidase-like 40); serine-type carboxypeptidase	1.100295378	0	0	0	scpl40
GRMZM2G072280	PS.lightreaction.photosystem I.LHC-I	chlorophyll a-b binding protein, chloroplast precursor, putative, expressed	AT3G61470.1	LHCA2; chlorophyll binding	136.6913369	1262.53162	2841.220747	2167.642058	LHCA2
GRMZM2G072298	lipid metabolism.Phospholipid synthesis	glycerol-3-phosphate acyltransferase 1, putative	AT1G06520.1	GPAT1 (GLYCEROL-3-PHOSPHATE ACYLTRANSFERASE 1); 1-acylglycerol-3-phosphate O-acyltransferase/ acyltransferase	0.034181701	31.61733852	17.02685154	1.141313487	GPAT1
GRMZM2G072501	protein.degradation.cysteine protease	thiol protease aleurain precursor, putative, expressed	AT5G60360.3	AALP (Arabidopsis aleurain-like protease); cysteine-type peptidase	7.307149055	4.67858809	3.555798559	9.193834155	ALP
GRMZM2G072518	RNA.regulation of transcription.putative transcription regulator	leucine-rich repeat-containing protein 40, putative, expressed	AT4G26050.1	leucine-rich repeat family protein	0.684604973	8.708568449	41.15928271	56.76701063	PIRL8
GRMZM2G072569	signalling.receptor kinases.leucine rich repeat XI	receptor protein kinase CLAVATA1 precursor, putative, expressed	AT5G65700.1	BAM1 (BARELY ANY MERISTEM 1); ATP binding / kinase/ protein serine/threonine kinase	51.34373454	9.250112996	0.999552082	0.606365545	BAM1
GRMZM2G072573	misc.acid and other phosphatases	POL, putative, expressed	AT2G46920.1	POL (poltergeist); protein serine/threonine phosphatase	4.04678219	10.11180078	1.243003601	0.781284528	POL
GRMZM2G072589	misc.UDP glucosyl and glucoronyl transferases	glycosyltransferase 5, putative, expressed	AT4G02500.1	XT2 (UDP-XYLOSYLTRANSFERASE 2); UDP-xylosyltransferase/ transferase/ transferase, transferring glycosyl groups / xyloglucan 6-xylosyltransferase	4.514315534	1.970412305	0.358387808	0.021745063	XT2
GRMZM2G072653	hormone metabolism.jasmonate.synthesis-degradation.allene oxidase synthase	cytochrome P450 74A1, chloroplast precursor, putative, expressed	AT5G42650.1	AOS (ALLENE OXIDE SYNTHASE); allene oxide synthase/ hydro-lyase/ oxygen binding	4.185914159	2.198594861	0.77499659	0.256872153	AOS
GRMZM2G072658	signalling.receptor kinases.misc	phytosulfokine receptor precursor, putative, expressed	AT3G02130.1	RPK2 (RECEPTOR-LIKE PROTEIN KINASE 2); ATP binding / kinase/ protein serine/threonine kinase	6.250382967	7.885936761	3.318629207	2.792388729	RPK2
GRMZM2G072700	transport.metal	copper-transporting ATPase PAA1, putative, expressed	AT5G21930.2	PAA2 (P-TYPE ATPASE OF ARABIDOPSIS 2); ATPase, coupled to transmembrane movement of ions, phosphorylative mechanism / copper ion transmembrane transporter	12.21535844	37.42009243	76.25513654	46.17000609	PAA2
GRMZM2G072729	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L8	60S ribosomal protein L2, putative, expressed	AT2G18020.1	EMB2296 (embryo defective 2296); structural constituent of ribosome	78.58819815	41.420715	9.874173017	15.48599181	EMB2296
GRMZM2G072744	gluconeogenesis.Malate DH	malate dehydrogenase, glyoxysomal precursor, putative, expressed	AT5G09660.1	PMDH2 (peroxisomal NAD-malate dehydrogenase 2); malate dehydrogenase	12.03952548	85.54286077	185.9852885	227.9271114	PMDH2
GRMZM2G072755	fermentation.aldehyde dehydrogenase	aldehyde dehydrogenase, mitochondrial precursor, putative, expressed	AT1G23800.1	ALDH2B7; 3-chloroallyl aldehyde dehydrogenase/ aldehyde dehydrogenase (NAD)	30.96888216	76.76612247	77.7161951	118.1732906	ALDH2B7
GRMZM2G072780	secondary metabolism.simple phenols	L-ascorbate oxidase precursor, putative, expressed	AT5G60020.1	LAC17 (laccase 17); laccase	1.360140267	18.89621128	0.575257794	0.013627771	LAC17
GRMZM2G072808	secondary metabolism.simple phenols	L-ascorbate oxidase precursor, putative, expressed	AT5G60020.1	LAC17 (laccase 17); laccase	5.868459494	78.08417761	0.548554616	0	LAC17
GRMZM2G072820	RNA.regulation of transcription.bHLH,Basic Helix-Loop-Helix family	DNA binding protein, putative	AT1G26945.1	KDR (KIDARI); transcription regulator	0	7.587271811	0.037795036	0	KDR
GRMZM2G072850	transport.ABC transporters and multidrug resistance systems	multidrug resistance protein 11, putative, expressed	AT3G28860.1	ABCB19; ATPase, coupled to transmembrane movement of substances / auxin efflux transmembrane transporter	8.558756912	1.292863436	0.148238192	0.047785771	ABCB19
GRMZM2G072865	protein.degradation.metalloprotease	OsFtsH7 - Oryza sativa FtsH protease, homologue of AtFtsH7, expressed	AT5G58870.1	ftsh9 (FtsH protease 9); ATP-dependent peptidase/ ATPase/ metallopeptidase	4.120011608	14.19659087	21.05158721	25.83261277	ftsh9
GRMZM2G072890	development.late embryogenesis abundant	protein induced upon tuberization, putative, expressed	AT4G02380.2	SAG21 (SENESCENCE-ASSOCIATED GENE 21)	0	0	3.070858843	114.2624127	SAG21
GRMZM2G072894	not assigned	RCD1, putative, expressed	AT1G32230.1	RCD1 (RADICAL-INDUCED CELL DEATH1); protein binding	14.4083302	26.06680682	19.84306515	15.87645148	RCD1
GRMZM2G072909	not assigned	4-methyl-5-thiazole monophosphate biosynthesis protein, putative, expressed	AT1G53280.1	DJ-1 family protein	35.07523767	53.07653478	66.22857881	65.31851484	DJ1B
GRMZM2G072911	cell wall.precursor synthesis.UER	dTDP-4-dehydrorhamnose reductase, putative, expressed	AT1G63000.1	NRS/ER (NUCLEOTIDE-RHAMNOSE SYNTHASE/EPIMERASE-REDUCTASE); UDP-4-keto-6-deoxy-glucose-3,5-epimerase/ UDP-4-keto-rhamnose-4-keto-reductase/ dTDP-4-dehydrorhamnose 3,5-epimerase/ dTDP-4-dehydrorhamnose reductase	107.2245425	41.77561695	12.24108393	7.495256711	NRS/ER
GRMZM2G072977	cell.organisation	ATEB1A, putative, expressed	AT3G47690.1	ATEB1A; microtubule binding	27.32053678	2.393443321	0.307164746	0.158598692	EB1a
GRMZM2G073003	cell.cycle	cyclin IaZm, putative, expressed	AT5G06150.1	CYC1BAT; cyclin-dependent protein kinase regulator	31.20344722	0.034466688	0	0	CYC1BAT
GRMZM2G073044	RNA.regulation of transcription.AS2,Lateral Organ Boundaries Gene Family	seed specific protein Bn15D17A, putative, expressed	AT3G02550.1	LBD41 (LOB DOMAIN-CONTAINING PROTEIN 41)	6.48806129	1.737293432	2.709778133	7.289163525	LBD41
GRMZM2G073045	not assigned	SLL2-S9-protein, putative, expressed	AT1G66680.1	AR401	36.28453482	5.60790997	4.006723807	3.067577166	AR401
GRMZM2G073054	major CHO metabolism.synthesis.starch.starch branching	1,4-alpha-glucan branching enzyme IIB, chloroplast precursor, putative, expressed	AT5G03650.1	SBE2.2 (starch branching enzyme 2.2); 1,4-alpha-glucan branching enzyme	27.76062128	45.25675593	99.88019588	75.9207074	SBE2.2
GRMZM2G073077	protein.degradation.ubiquitin.proteasom	26S proteasome non-ATPase regulatory subunit 8, putative, expressed	AT1G64520.1	RPN12a (Regulatory Particle non-ATPase 12a); peptidase	48.99431056	37.44626056	16.63446026	20.16725865	RPN12a
GRMZM2G073223	protein.degradation.subtilases	subtilisin-like protease precursor, putative, expressed	AT4G34980.1	SLP2; serine-type peptidase	1.528064811	14.9336529	6.794948913	4.431007855	SLP2
GRMZM2G073228	protein.degradation.ubiquitin.E3.RING	protein binding protein, putative, expressed	AT3G63530.2	BB (BIG BROTHER); protein binding / ubiquitin-protein ligase/ zinc ion binding	13.61963684	95.29633329	68.70260545	82.46947365	BB
GRMZM2G073244	misc.UDP glucosyl and glucoronyl transferases	limonoid UDP-glucosyltransferase, putative, expressed	AT4G15480.1	UGT84A1; UDP-glycosyltransferase/ sinapate 1-glucosyltransferase/ transferase, transferring glycosyl groups	0	0	1.907654736	0.515942613	UGT84A1
GRMZM2G073310	RNA.regulation of transcription.PHOR1	photoperiod responsive protein, putative, expressed	AT3G18710.1	PUB29 (PLANT U-BOX 29); ubiquitin-protein ligase	4.902805569	6.398039373	10.98002408	7.470695018	PUB29
GRMZM2G073312	protein.degradation	metalloendopeptidase, putative, expressed	AT5G42390.1	metalloendopeptidase	9.533978373	21.63003318	10.65132663	10.51320046	SPP
GRMZM2G073351	tetrapyrrole synthesis.protochlorophyllide reductase	protochlorophyllide reductase B, chloroplast precursor, putative, expressed	AT5G54190.1	PORA; oxidoreductase/ protochlorophyllide reductase	255.5571366	563.4871146	360.6468844	325.7293318	PORA
GRMZM2G073359	protein.postranslational modification.kinase.receptor like cytoplasmatic kinase VII	protein kinase APK1B, chloroplast precursor, putative	AT2G17220.2	protein kinase, putative	0.04421871	2.481762534	0.846361704	0.034335936	Kin3
GRMZM2G073371	redox.dismutases and catalases	superoxide dismutase, chloroplast, putative, expressed	AT5G23310.1	FSD3 (FE SUPEROXIDE DISMUTASE 3); superoxide dismutase	4.617435143	15.39952852	4.641640465	2.852244787	FSD3
GRMZM2G073376	misc.UDP glucosyl and glucoronyl transferases	indole-3-acetate beta-glucosyltransferase, putative, expressed	AT2G30140.1	UDP-glucoronosyl/UDP-glucosyl transferase family protein	14.99718469	12.14008745	5.824231388	3.966170041	UGT87A2
GRMZM2G073401	protein.folding	chaperonin, putative, expressed	AT1G14980.1	CPN10 (CHAPERONIN 10); chaperone binding	53.74025498	1.6350997	0.190765474	0.123826227	CPN10
GRMZM2G073415	not assigned	COV1-like protein, putative, expressed	AT1G43130.1	LCV2 (LIKE COV 2)	4.120978469	9.323961389	0.5695712	0.147043645	LCV2
GRMZM2G073427	RNA.regulation of transcription.bZIP transcription factor family	light-inducible protein CPRF-2, putative, expressed	AT5G28770.3	BZO2H3; DNA binding / protein heterodimerization/ transcription factor	0.485777876	4.943498865	1.477711479	3.327510785	BZO2H3
GRMZM2G073504	cell.vesicle transport	SAY1, putative, expressed	AT4G11740.1	SAY1	10.22755466	15.12927738	9.583784328	8.243798762	SAY1
GRMZM2G073511	not assigned	tetratricopeptide repeat protein 1, putative, expressed	AT4G30480.2	tetratricopeptide repeat (TPR)-containing protein	25.10753726	10.98952296	4.52801018	7.954393974	TPR1
GRMZM2G073555	signalling.calcium	C2 domain containing protein, expressed	AT3G14590.2	0	0.056739064	2.14338912	5.131376896	5.242904481	NTMC2T6.2
GRMZM2G073591	signalling.phosphinositides.phosphatidylinositol-4-phosphate 5-kinase	phosphatidylinositol-4-phosphate 5-kinase 2, putative, expressed	AT1G77740.1	1-phosphatidylinositol-4-phosphate 5-kinase, putative / PIP kinase, putative / PtdIns(4)P-5-kinase, putative / diphosphoinositide kinase, putative	3.525879575	0.354755359	0.114384031	0.069606459	PIP5K2
GRMZM2G073628	redox.thioredoxin	OsPDIL5-1 - Oryza sativa protein disulfide isomerase, expressed	AT1G07960.3	ATPDIL5-1 (PDI-like 5-1)	71.72470417	35.74067487	19.69442491	20.09162719	PDIL5-1
GRMZM2G073668	hormone metabolism.ethylene.signal transduction	ethylene receptor, putative, expressed	AT1G66340.1	ETR1 (ETHYLENE RESPONSE 1); ethylene binding / protein histidine kinase/ two-component response regulator	16.8722559	12.32858473	10.773858	8.853152329	ETR1
GRMZM2G073671	cell.cycle	cyclin IIIZm, putative, expressed	AT1G20610.1	CYCB2;3 (Cyclin B2;3); cyclin-dependent protein kinase regulator	16.49841956	0.046372652	0	0	CYCB2
GRMZM2G073693	misc.myrosinases-lectin-jacalin	lectin-like protein, putative, expressed	AT4G19840.1	ATPP2-A1; carbohydrate binding	8.911370612	12.91214912	28.1844074	57.15862542	PP2-A1
GRMZM2G073725	cell wall.cell wall proteins.RGP	alpha-1,4-glucan-protein synthase, putative, expressed	AT5G15650.1	RGP2 (REVERSIBLY GLYCOSYLATED POLYPEPTIDE 2); transferase, transferring hexosyl groups	575.4122706	65.76958042	19.81671291	21.36526346	RGP2
GRMZM2G073743	not assigned	OsCHL - Oryza sativa Chloroplastic lipocalin, expressed	AT3G47860.1	apolipoprotein D-related	43.7838976	180.539977	129.6144702	37.38631446	CHL
GRMZM2G073750	RNA.regulation of transcription.ARF, Auxin Response Factor family	auxin response factor 6, putative, expressed	AT1G30330.2	ARF6 (AUXIN RESPONSE FACTOR 6); transcription factor	14.61933738	3.313271936	1.597443403	1.638784286	ARF6
GRMZM2G073774	TCA / org. transformation.TCA.pyruvate DH.E3	dihydrolipoyl dehydrogenase, putative, expressed	AT3G16950.1	LPD1 (LIPOAMIDE DEHYDROGENASE 1); dihydrolipoyl dehydrogenase	32.23039373	14.10383594	1.269138057	0.815299146	LPD1
GRMZM2G073814	amino acid metabolism.synthesis.serine-glycine-cysteine group.serine.phosphoglycerate dehydrogenase	D-3-phosphoglycerate dehydrogenase, chloroplast precursor, putative, expressed	AT4G34200.1	EDA9 (embryo sac development arrest 9); ATP binding	339.5858023	33.41709228	4.58783744	5.367278533	EDA9
GRMZM2G073826	RNA.regulation of transcription.MYB domain transcription factor family	myb-like DNA-binding domain containing protein, expressed	AT5G11510.2	MYB3R-4 (myb domain protein 3R-4); DNA binding / transcription coactivator/ transcription factor	5.063100629	8.556590341	2.709641511	1.655372604	MYB3R-4
GRMZM2G073860	misc.acid and other phosphatases	purple acid phosphatase precursor, putative, expressed	AT2G16430.2	PAP10 (PURPLE ACID PHOSPHATASE 10); acid phosphatase/ protein serine/threonine phosphatase	2.026443684	4.818334048	4.376545699	8.215279808	PAP10
GRMZM2G073888	cell.organisation	tubulin gamma-2 chain, putative, expressed	AT5G05620.1	GCP2 (GAMMA-TUBULIN COMPLEX PROTEIN 2); GTP binding / GTPase/ structural molecule	8.442250498	5.366949398	2.050798328	2.071037248	GCP2
GRMZM2G073943	not assigned	plant-specific domain TIGR01627 family protein, expressed	AT1G33800.1	unknown protein	1.996172406	13.85875102	1.445687065	1.047319406	GXMT1
GRMZM2G073950	polyamine metabolism.synthesis.N-carbamoylputrescine amidohydrolase	hydrolase, carbon-nitrogen family, putative, expressed	AT2G27450.1	NLP1 (NITRILASE-LIKE PROTEIN 1); N-carbamoylputrescine amidase/ hydrolase, acting on carbon-nitrogen (but not peptide) bonds	35.37125202	29.4761196	18.41566757	18.46017803	NLP1
GRMZM2G073959	not assigned	expressed protein	AT1G18600.1	RBL12 (ARABIDOPSIS RHOMBOID-LIKE PROTEIN 12)	18.68749594	10.59587635	5.277844768	6.191311351	RBL12
GRMZM2G074015	secondary metabolism.isoprenoids.mevalonate pathway.mevalonate kinase	mevalonate kinase, putative, expressed	AT5G27450.2	MK (MEVALONATE KINASE); mevalonate kinase	20.39906722	8.860334745	1.412972289	0.567161057	MK
GRMZM2G074037	protein.degradation.ubiquitin.proteasom	26S protease regulatory subunit S10B, putative, expressed	AT5G43010.1	RPT4A; ATPase	27.96017289	14.24103003	17.50351784	14.65950673	RPT4A
GRMZM2G074097	Co-factor and vitamine metabolism.thiamine	thiazole biosynthetic enzyme 1-1, chloroplast precursor, putative, expressed	AT5G54770.1	THI1; protein homodimerization	53.78792053	7.339009273	2.099156755	2.59266143	THI1
GRMZM2G074103	transport.ABC transporters and multidrug resistance systems	ATPase, coupled to transmembrane movement of substances, putative, expressed	AT1G54350.1	ABC transporter family protein	12.5948168	39.65788244	34.48359325	23.60190983	ABCD2
GRMZM2G074122	glycolysis.PEPCase	phosphoenolpyruvate carboxylase 1, putative, expressed	AT1G53310.3	ATPPC1 (PHOSPHOENOLPYRUVATE CARBOXYLASE 1); catalytic/ phosphoenolpyruvate carboxylase	36.39096647	13.32001923	6.072691458	3.765552865	PPC1
GRMZM2G074138	not assigned	sigma factor sigB regulation protein rsbQ, putative, expressed	AT4G37470.1	hydrolase, alpha/beta fold family protein	5.881079385	12.29111244	19.40872895	20.89082236	KAI2
GRMZM2G074158	major CHO metabolism.degradation.starch.starch phosphorylase	alpha-1,4 glucan phosphorylase, L isozyme, chloroplast precursor, putative, expressed	AT3G29320.1	glucan phosphorylase, putative	8.16663827	15.47771572	26.46041176	15.29153246	PHS1
GRMZM2G074169	redox.heme	cytochrome b5, putative, expressed	AT5G53560.1	CB5-E (CYTOCHROME B5 ISOFORM E); heme binding	120.3140743	63.13463256	55.0560924	61.95717979	CB5-E
GRMZM2G074222	RNA.regulation of transcription.C2C2(Zn) YABBY family	axial regulator YABBY2, putative, expressed	AT2G26580.2	YAB5 (YABBY5); transcription factor	15.24217701	3.165653194	2.139446716	1.482430218	YAB5
GRMZM2G074262	protein.postranslational modification	ATP binding protein, putative, expressed	AT3G44200.1	"NEK6 (""NIMA (NEVER IN MITOSIS, GENE A)-RELATED 6""); ATP binding / kinase/ protein kinase/ protein serine/threonine kinase"	4.996196201	57.49268804	8.206325851	1.863692705	NEK6
GRMZM2G074267	hormone metabolism.auxin.signal transduction	auxin efflux carrier component 1, putative, expressed	AT1G73590.1	PIN1 (PIN-FORMED 1); transporter	38.56945677	23.90104753	8.577457263	1.365979212	PIN1
GRMZM2G074278	protein.targeting.secretory pathway.unspecified	AP-3 complex subunit mu-2, putative, expressed	AT1G56590.1	clathrin adaptor complexes medium subunit family protein	7.161210408	3.334733786	2.030231452	2.813001703	ZIP4
GRMZM2G074280	not assigned	RNA polymerase II complex component SRB7, putative, expressed	AT4G04780.1	MED21 (MEDIATOR 21)	15.14933004	6.649927011	3.988732629	5.853603459	MED21
GRMZM2G074282	PS.photorespiration.hydroxypyruvate reductase	hydroxypyruvate reductase, putative, expressed	AT1G68010.1	HPR; glycerate dehydrogenase/ poly(U) binding	16.70947169	103.13853	152.8607423	220.574071	HPR
GRMZM2G074306	development.unspecified	harpin-induced protein, putative, expressed	AT2G35980.1	YLS9 (YELLOW-LEAF-SPECIFIC GENE 9)	4.939998926	0.888641142	0.393972174	0.473570514	YLS9
GRMZM2G074317	transport.cyclic nucleotide or calcium regulated channels	cyclic nucleotide-gated ion channel 2, putative, expressed	AT5G15410.1	DND1 (DEFENSE NO DEATH 1); calcium channel/ calmodulin binding / cation channel/ cyclic nucleotide binding / intracellular cAMP activated cation channel/ intracellular cyclic nucleotide activated cation channel/ inward rectifier potassium channel	9.421184684	14.80128356	14.8325901	9.97697136	DND1
GRMZM2G074351	RNA.RNA binding	splicing factor U2AF-associated protein 2, putative, expressed	AT5G16260.1	RNA recognition motif (RRM)-containing protein	7.674239722	5.402566508	3.498877535	3.429661884	ELF9
GRMZM2G074386	protein.degradation.ubiquitin.proteasom	proteasome subunit beta type 1, putative, expressed	AT3G60820.2	PBF1; peptidase/ threonine-type endopeptidase	85.86867427	50.99985325	53.99915637	56.97584326	PBF1
GRMZM2G074401	lipid metabolism.FA desaturation.omega 3 desaturase	omega-3 fatty acid desaturase, chloroplast precursor, putative, expressed	AT5G05580.1	FAD8 (FATTY ACID DESATURASE 8); omega-3 fatty acid desaturase	29.86515458	266.9691571	411.2743659	259.3874079	FAD8
GRMZM2G074404	not assigned	transmembrane BAX inhibitor motif-containing protein 4, putative, expressed	AT3G63310.1	glutamate binding	11.84916478	27.40997008	15.77654213	9.542583408	BIL4
GRMZM2G074466	cell.division	SCD1, putative, expressed	AT1G49040.1	SCD1 (STOMATAL CYTOKINESIS-DEFECTIVE 1); protein binding	15.18180449	7.097699664	3.204982635	2.427086953	SCD1
